0	1525
1	1550
2	1566
3	1535
4	1557
5	1539
6	1547
7	1599
8	1574
9	1551
10	1505
11	1445
12	1529
13	1513
14	1513
15	1525
16	1533
17	1542
18	1463
19	1514
20	1508
21	1608
22	1532
23	1553
24	1570
25	1420
27	1353
28	1561
39	1395
41	1579
42	1598
43	1575
44	1548
45	1551
46	1533
47	1504
48	1536
49	1559
50	1522
51	1545
52	1522
53	1530
54	1540
55	1551
56	1300
57	1315
58	1512
59	1393
60	1576
61	1529
62	1523
63	1537
64	1524
65	1564
66	1560
67	1533
68	1484
69	1536
70	1569
71	1554
72	1591
73	1561
74	1533
75	1508
76	1555
77	1625
78	1564
79	1459
80	1617
81	1561
82	1546
83	1555
84	1575
85	1551
86	1540
87	1555
88	1544
89	1445
90	1569
91	1499
92	1500
93	1509
94	1528
95	1531
96	1523
97	1544
98	1526
99	1531
100	1543
101	1521
102	1545
103	1600
104	1512
105	1480
106	1548
107	1530
108	1608
109	1543
110	1529
111	1557
112	1504
113	1530
114	1551
115	1532
116	1522
117	1531
118	1574
119	1588
120	1495
121	1529
122	1517
123	1547
124	1571
125	1384
126	1604
127	1480
128	1542
129	1524
130	1510
131	1579
132	1543
133	1556
134	1523
135	1531
136	1534
137	1546
138	1519
139	1566
140	1514
141	1501
142	1513
143	1540
144	1521
145	1543
146	1556
147	1581
148	1574
149	1577
150	1567
151	1523
152	1510
153	1550
154	1540
155	1521
156	1563
157	1574
158	1565
159	1538
160	1502
161	1518
162	1359
163	1527
164	1308
165	1538
166	1513
167	1495
168	1529
169	1547
170	1598
171	1556
172	1534
173	1528
174	1561
175	1561
176	1546
177	1505
178	1541
179	1514
180	1625
181	1525
182	1496
183	1556
184	1501
185	1546
186	1540
187	1556
188	1433
189	1387
190	1566
191	1503
192	1509
193	1556
194	1536
195	1517
196	1600
197	1527
198	1522
199	1524
200	1511
201	1566
202	1494
203	1620
204	1550
205	1566
206	1439
207	1492
208	1505
209	1542
210	1543
211	1547
212	1540
213	1577
214	1588
215	1550
216	1511
217	1545
218	1507
219	1523
220	1562
221	1483
222	1521
223	1477
224	1523
225	1519
226	1518
227	1488
228	1563
229	1540
230	1567
231	1546
232	1537
233	1482
234	1523
235	1431
236	1524
237	1430
238	1535
239	1488
240	1532
241	1571
242	1519
243	1518
244	1545
245	1552
246	1581
247	1577
248	1576
249	1625
250	1604
251	1511
252	1606
253	1514
254	1559
255	1506
256	1421
257	1473
258	1532
259	1533
260	1508
261	1481
262	1553
263	1550
264	1527
265	1576
266	1497
267	1510
268	1610
269	1517
270	1530
271	1541
272	1581
273	1502
274	1570
275	1571
276	1498
277	1536
278	1560
279	1526
280	1543
281	1563
282	1544
283	1507
284	1509
285	1590
286	1522
287	1538
288	1519
289	1519
290	1405
291	1517
292	1586
293	1523
294	1518
295	1553
296	1549
297	1504
298	1496
299	1519
300	1525
301	1500
302	1502
303	1504
304	1506
305	1528
306	1522
307	1514
308	1558
309	1497
310	1610
312	1544
313	1463
314	1605
317	1625
320	1555
321	1517
322	1509
323	1496
324	1570
